Capital,Attainment,Aspirational ,Community Consciousness,Spiritual,Social,Familial,Filial Piety,First Generation,Linguistic/ Pluriversal,Navigational ,Resistance,Perserverant 
,"Chem 115 is a requirement for me because I am a biology major, and hope to pass a B or higher, so I figured this class could help me reach that goal.","Also I want to get a better grasp of concepts because when I learn one concept I understand it, but if you give me another one; I either forget about the first one or get it confused between the two.",I want to help my community while I'm here,to make a better future for myself and ultimately the world /%/to put this passion into my school to later help people,Meet people who have (similar) aspirations/goals /%/ - Network,"For my loved ones - These include my family, friends, my lover - They all push me to achieve greatness, with their unwavering support, they give me power to stay grounded",I am here to make my parents proud as well.,I am here at SFSU because I am a first generation student,,I feel it could contribute to my path for success.,I am here in the science community because I feel that my people (of color and being a female) are under represented.,"I am not that strong in math, but I'm trying."
,I’m at sfsu because I am pursuing a bachelor’s of science degree in biochemistry. I want to obtain this degree to then attend a medical school and declare my field of specialty in pain/internal medicine. I want to become an anesthesiologist in the near future.,I am here to find myself and figure out my identity in more depth as a student.,I am here to set an example for my sisters and other young women in my life.,To achieve goals such as open up a homeless shelter,build relationships with many diverse people who are as passionate as I am,I'm here because my family wanted me to have a better life than they did back in china.,"
I am here to set an example for my sisters and other young women in my life.",I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away,,I knew coming to college was the choice I had to make to get into my career.,,I'm here because of all the mistakes I have taken and learned from.
,"I am here because I fell in love with thee whole concept of chemistry, I am deeply interested in science and I want to prove to myself that I can actually become a chemist or a dermatologist.",I am taking this sci 115 course so it can help me get a better grade in chem 115 lectures.,To help my community; I want to give back to all who have touched me.,"By going to school & teaching this class, I am able to gain perspectives & sufficient knowledge to provide a helping hand to all.",Somewhow I will accomplish that by finding myself & learning from others.,,I’m here because my parents didn’t bring me here for for me not to take advantages of all the opportunities that I have here,I'm the first one in my family to go to college,,I came to school to learn different idea and skill that could help me with the next step in my life.  /%/ Even though school is a long process I know in the end it will be all worth it. and another sentence that is needed /%/ and here's another instance but this one is . three sentences. long./%/,,School has always helped me escape the hard things I live through everday
,I am here because my dream is to be a doctor,"I’m here for myself, my goals, my grade, my family and primarily for a better understanding.",I am here because I care about my community and to help empower those around me. /%/ I want to contribute my knowledge that I've gain since I've been at SF State to those around me,I want to help people., I am here to learn from my students/peers and to grow from their feedback/advice.,I’m here because my parents didn’t bring me here for for me not to take advantages of all the opportunities that I have here,I’m here because of all the sacrifices that both my parents have made for me and my little sisters.,,,I’m in college to get my degree that can allow me to go to my doctorate program and obtain that doctorate which will open so many doors for me in a career choice/opportunities. ,,More specifically I would like to be able to thrive not just survive.
,I am here to get a degree /%/ I am in college to get my degree that can allow me to go to my doctorate program & obtain that doctorate.,I am here to learn as much as I can about my career and life. /%/ I’m here in this class because I want to make sure I’m following along and not falling behind in chem.,"I am excited to be here in SI because I get to give my students and peers what my SI facilitators have given to me: A safe place. A place to learn, to make mistakes, overcome challeneges, and that is safe for them to be themselves and to meet others /%/",I want to save lifes,I am also here because I want to gain new perspective from my peers,"
She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well.",She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well.,,,being here right now is a path for me to get there one day and be successful.,,Whenever im struggling I know I can fall back on science
,Ever since I was little I wanted to be a doctor,I am here to make sure that I have a stable career and that finances won't ever be an issue.,,,,,I can improve my health & the health of my family,,,Being in this instituion will pave a way for me to become a professional.,,"I know that not only can I change my life, families, but also the people around me."
,With my career & diploma,I am here because I want to feel like I am actually doing something in my life.,,,,,"As the oldest of 3 siblings, I want to be a role model and set a good example for my siblings.",,,,,I believe attending this SI course will develop and improve my overall understanding with material I may be struggling in.
,I am in this class because I want to pass physics and getting an A,I came to school to learn different idea and skill that could help me with the next step of my life.,,,,I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.,I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.,,,I am in this class because I want to pass physics and getting an A is part of that journey,,"even though it's taken me longer than I had hoped, I'm almost there /%/ I struggle and don't understand everything right away. It takes me time but I get it eventually."
,I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.,I am here [...] to make something of myself. I am here because I want to progress and live a better life than my parents did. /%/ I want to progress and live a better life than my parents did.,,,,"
“My parents sacrificed so I could go to college.”",pay for a house for my mother so that she doesn't have to work another day in her life,,,,,"
"
,I aspire to become a doctor /%/ To achieve goals such as open up a homeless shelter ,I’m here because I want students to experience the opportunities and community that I have built when I took the sci 115 class myself.,,,,,become a role model for my younger cousins back where I'm from.,,,,,
,"In the end, the goal is to achieve an A for my physics course.",I want to make them and myself proud.,,,,,,,,"Also I'm trying to transfer next semester so I'm trying to get all my classes together, make sure I have enough credits to get in.",,
,Planning to become a physical therapist requires a degree or some form of education.,I’m here for a better future for myself,,,,,,,,"I'm here at this institution becauase in order to do what I want to be when I grow up, I need a college degree /%/ After graduating high school there are three paths a person might take: work immediately, enroll into the military, or go back to school. So, I chose to go back to school.",,
,here to get a kin degree,to better one self and be able to succeed later on in life,,,,,,,,,,
,I'm here because I want to become a doctor in the near future. /%/ I want to be the first in my family to graduate and become a doctor.,"I am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent.",,,,,,,,,,
,My dream is to get my masters and PHD in Psychology ,"I am here because I want to better myself & my family, not only financially but in health.",,,,,,,,,,
,,become a better version of me.,,,,,,,,,,
,,I am here to help myself grow /%/ Understand my purpose,,,,,,,,,,
,,I'm here in Sci 111 because I want to successed in PHYS 111/%/I'm now here to better myself,,,,,,,,,,
,,I am here to better myself and hopefully give myself a better future // why I am here in San Francisco is to experience new things and figure myself out.,,,,,,,,,,
,,The reason I came to SF State is because I wante to be in a new environment away from where I'm from (LA).,,,,,,,,,,
,,to make a better future for myself /%/ Im a very passionate person and thats why im here,,,,,,,,,,
,,I am here because I have goals that I want to achieve. I am here to better myself for me and my family. I am here to become stronger mentally & more educated.,,,,,,,,,,
,,I am here at SFSU for a better future. /%/ A future where I don't have to struggle at the end of the month to pay bills,,,,,,,,,,
,,"Make myself proud & happy - getting education is a priveledge, knowledge is power! /%/ I am here to change my life",,,,,,,,,,
,,I am here to expand my knowledge of the world around me and to converse with my peers to grow as a person /%/ grow from their feedback/advice.,,,,,,,,,,
,,I'm taking this class to get a good grade in physics and to understand the material.,,,,,,,,,,
,,I'm here because I want to improve my understanding in physics.,,,,,,,,,,
,,I feel the importance of me being here is to better myself.,,,,,,,,,,
,,Learn and apply my skills to progress towards my career goal,,,,,,,,,,
